49 0    0.0
49 1    0.0
49 2    0.0
49 3    0.0
49 4    0.0
49 5    0.0
49 6    0.0
49 7    0.0
49 8    0.0
49 9    0.0
49 10    0.0
49 11    0.0
49 12    0.0
49 13    0.0
49 14    0.0
49 15    0.0
49 16    0.0
49 17    0.0
49 18    0.0
49 19    0.0
49 20    0.0
49 21    0.0
49 22    0.0
49 23    0.0
49 24    0.0
49 25    0.0
49 26    0.0
49 27    0.0
49 28    0.0
49 29    0.0
49 30    0.0
49 31    0.0
49 32    0.0
49 33    0.0
49 34    0.0
49 35    0.0
49 36    0.0
49 37    0.0
49 38    0.0
49 39    0.0
49 40    0.0
49 41    0.0
49 42    0.0
49 43    0.0
49 44    0.0
49 45    0.0
49 46    0.0
49 47    0.0
49 48    0.0
49 49    0.0
48 0    0.0
48 1    0.2
48 2    0.5
48 3    0.7
48 4    0.9
48 5    1.1
48 6    1.2
48 7    1.4
48 8    1.6
48 9    1.7
48 10    1.9
48 11    2.0
48 12    2.1
48 13    2.2
48 14    2.4
48 15    2.4
48 16    2.5
48 17    2.6
48 18    2.7
48 19    2.7
48 20    2.8
48 21    2.8
48 22    2.9
48 23    2.9
48 24    2.9
48 25    2.9
48 26    2.9
48 27    2.9
48 28    2.8
48 29    2.8
48 30    2.7
48 31    2.7
48 32    2.6
48 33    2.5
48 34    2.4
48 35    2.4
48 36    2.2
48 37    2.1
48 38    2.0
48 39    1.9
48 40    1.7
48 41    1.6
48 42    1.4
48 43    1.2
48 44    1.1
48 45    0.9
48 46    0.7
48 47    0.5
48 48    0.2
48 49    0.0
47 0    0.0
47 1    0.5
47 2    0.9
47 3    1.3
47 4    1.7
47 5    2.1
47 6    2.4
47 7    2.8
47 8    3.1
47 9    3.4
47 10    3.7
47 11    3.9
47 12    4.2
47 13    4.4
47 14    4.6
47 15    4.8
47 16    5.0
47 17    5.1
47 18    5.2
47 19    5.4
47 20    5.5
47 21    5.5
47 22    5.6
47 23    5.6
47 24    5.6
47 25    5.6
47 26    5.6
47 27    5.6
47 28    5.5
47 29    5.5
47 30    5.4
47 31    5.2
47 32    5.1
47 33    5.0
47 34    4.8
47 35    4.6
47 36    4.4
47 37    4.2
47 38    3.9
47 39    3.7
47 40    3.4
47 41    3.1
47 42    2.8
47 43    2.4
47 44    2.1
47 45    1.7
47 46    1.3
47 47    0.9
47 48    0.5
47 49    0.0
46 0    0.0
46 1    0.7
46 2    1.3
46 3    1.9
46 4    2.5
46 5    3.0
46 6    3.6
46 7    4.1
46 8    4.5
46 9    5.0
46 10    5.4
46 11    5.8
46 12    6.1
46 13    6.5
46 14    6.8
46 15    7.0
46 16    7.3
46 17    7.5
46 18    7.7
46 19    7.9
46 20    8.0
46 21    8.1
46 22    8.2
46 23    8.3
46 24    8.3
46 25    8.3
46 26    8.3
46 27    8.2
46 28    8.1
46 29    8.0
46 30    7.9
46 31    7.7
46 32    7.5
46 33    7.3
46 34    7.0
46 35    6.8
46 36    6.5
46 37    6.1
46 38    5.8
46 39    5.4
46 40    5.0
46 41    4.5
46 42    4.1
46 43    3.6
46 44    3.0
46 45    2.5
46 46    1.9
46 47    1.3
46 48    0.7
46 49    0.0
45 0    0.0
45 1    0.9
45 2    1.7
45 3    2.5
45 4    3.2
45 5    4.0
45 6    4.6
45 7    5.3
45 8    5.9
45 9    6.5
45 10    7.0
45 11    7.5
45 12    8.0
45 13    8.4
45 14    8.8
45 15    9.2
45 16    9.5
45 17    9.8
45 18   10.0
45 19   10.3
45 20   10.4
45 21   10.6
45 22   10.7
45 23   10.8
45 24   10.8
45 25   10.8
45 26   10.8
45 27   10.7
45 28   10.6
45 29   10.4
45 30   10.3
45 31   10.0
45 32    9.8
45 33    9.5
45 34    9.2
45 35    8.8
45 36    8.4
45 37    8.0
45 38    7.5
45 39    7.0
45 40    6.5
45 41    5.9
45 42    5.3
45 43    4.6
45 44    4.0
45 45    3.2
45 46    2.5
45 47    1.7
45 48    0.9
45 49    0.0
44 0    0.0
44 1    1.1
44 2    2.1
44 3    3.0
44 4    4.0
44 5    4.8
44 6    5.7
44 7    6.5
44 8    7.2
44 9    7.9
44 10    8.6
44 11    9.2
44 12    9.8
44 13   10.3
44 14   10.8
44 15   11.2
44 16   11.6
44 17   12.0
44 18   12.3
44 19   12.5
44 20   12.8
44 21   12.9
44 22   13.1
44 23   13.2
44 24   13.2
44 25   13.2
44 26   13.2
44 27   13.1
44 28   12.9
44 29   12.8
44 30   12.5
44 31   12.3
44 32   12.0
44 33   11.6
44 34   11.2
44 35   10.8
44 36   10.3
44 37    9.8
44 38    9.2
44 39    8.6
44 40    7.9
44 41    7.2
44 42    6.5
44 43    5.7
44 44    4.8
44 45    4.0
44 46    3.0
44 47    2.1
44 48    1.1
44 49    0.0
43 0    0.0
43 1    1.2
43 2    2.4
43 3    3.6
43 4    4.6
43 5    5.7
43 6    6.7
43 7    7.6
43 8    8.5
43 9    9.3
43 10   10.1
43 11   10.8
43 12   11.5
43 13   12.1
43 14   12.6
43 15   13.2
43 16   13.6
43 17   14.0
43 18   14.4
43 19   14.7
43 20   15.0
43 21   15.2
43 22   15.3
43 23   15.4
43 24   15.5
43 25   15.5
43 26   15.4
43 27   15.3
43 28   15.2
43 29   15.0
43 30   14.7
43 31   14.4
43 32   14.0
43 33   13.6
43 34   13.2
43 35   12.6
43 36   12.1
43 37   11.5
43 38   10.8
43 39   10.1
43 40    9.3
43 41    8.5
43 42    7.6
43 43    6.7
43 44    5.7
43 45    4.6
43 46    3.6
43 47    2.4
43 48    1.2
43 49    0.0
42 0    0.0
42 1    1.4
42 2    2.8
42 3    4.1
42 4    5.3
42 5    6.5
42 6    7.6
42 7    8.6
42 8    9.6
42 9   10.6
42 10   11.5
42 11   12.3
42 12   13.1
42 13   13.8
42 14   14.4
42 15   15.0
42 16   15.5
42 17   16.0
42 18   16.4
42 19   16.8
42 20   17.1
42 21   17.3
42 22   17.5
42 23   17.6
42 24   17.6
42 25   17.6
42 26   17.6
42 27   17.5
42 28   17.3
42 29   17.1
42 30   16.8
42 31   16.4
42 32   16.0
42 33   15.5
42 34   15.0
42 35   14.4
42 36   13.8
42 37   13.1
42 38   12.3
42 39   11.5
42 40   10.6
42 41    9.6
42 42    8.6
42 43    7.6
42 44    6.5
42 45    5.3
42 46    4.1
42 47    2.8
42 48    1.4
42 49    0.0
41 0    0.0
41 1    1.6
41 2    3.1
41 3    4.5
41 4    5.9
41 5    7.2
41 6    8.5
41 7    9.6
41 8   10.8
41 9   11.8
