49 0    0.0
49 1    0.0
49 2    0.0
49 3    0.0
49 4    0.0
49 5    0.0
49 6    0.0
49 7    0.0
49 8    0.0
49 9    0.0
49 10    0.0
49 11    0.0
49 12    0.0
49 13    0.0
49 14    0.0
49 15    0.0
49 16    0.0
49 17    0.0
49 18    0.0
49 19    0.0
49 20    0.0
49 21    0.0
49 22    0.0
49 23    0.0
49 24    0.0
49 25    0.0
49 26    0.0
49 27    0.0
49 28    0.0
49 29    0.0
49 30    0.0
49 31    0.0
49 32    0.0
49 33    0.0
49 34    0.0
49 35    0.0
49 36    0.0
49 37    0.0
49 38    0.0
49 39    0.0
49 40    0.0
49 41    0.0
49 42    0.0
49 43    0.0
49 44    0.0
49 45    0.0
49 46    0.0
49 47    0.0
49 48    0.0
49 49    0.0
48 0    0.0
48 1    0.1
48 2    0.2
48 3    0.3
48 4    0.4
48 5    0.5
48 6    0.6
48 7    0.7
48 8    0.8
48 9    0.9
48 10    1.0
48 11    1.1
48 12    1.2
48 13    1.2
48 14    1.3
48 15    1.4
48 16    1.4
48 17    1.5
48 18    1.5
48 19    1.6
48 20    1.6
48 21    1.6
48 22    1.6
48 23    1.6
48 24    1.7
48 25    1.7
48 26    1.6
48 27    1.6
48 28    1.6
48 29    1.6
48 30    1.6
48 31    1.5
48 32    1.5
48 33    1.4
48 34    1.4
48 35    1.3
48 36    1.2
48 37    1.2
48 38    1.1
48 39    1.0
48 40    0.9
48 41    0.8
48 42    0.7
48 43    0.6
48 44    0.5
48 45    0.4
48 46    0.3
48 47    0.2
48 48    0.1
48 49    0.0
47 0    0.0
47 1    0.2
47 2    0.4
47 3    0.6
47 4    0.9
47 5    1.1
47 6    1.3
47 7    1.5
47 8    1.7
47 9    1.8
47 10    2.0
47 11    2.2
47 12    2.3
47 13    2.5
47 14    2.6
47 15    2.7
47 16    2.8
47 17    2.9
47 18    3.0
47 19    3.1
47 20    3.2
47 21    3.2
47 22    3.3
47 23    3.3
47 24    3.3
47 25    3.3
47 26    3.3
47 27    3.3
47 28    3.2
47 29    3.2
47 30    3.1
47 31    3.0
47 32    2.9
47 33    2.8
47 34    2.7
47 35    2.6
47 36    2.5
47 37    2.3
47 38    2.2
47 39    2.0
47 40    1.8
47 41    1.7
47 42    1.5
47 43    1.3
47 44    1.1
47 45    0.9
47 46    0.6
47 47    0.4
47 48    0.2
47 49    0.0
46 0    0.0
46 1    0.3
46 2    0.6
46 3    1.0
46 4    1.3
46 5    1.6
46 6    1.9
46 7    2.2
46 8    2.5
46 9    2.7
46 10    3.0
46 11    3.2
46 12    3.5
46 13    3.7
46 14    3.9
46 15    4.1
46 16    4.2
46 17    4.4
46 18    4.5
46 19    4.6
46 20    4.7
46 21    4.8
46 22    4.9
46 23    4.9
46 24    4.9
46 25    4.9
46 26    4.9
46 27    4.9
46 28    4.8
46 29    4.7
46 30    4.6
46 31    4.5
46 32    4.4
46 33    4.2
46 34    4.1
46 35    3.9
46 36    3.7
46 37    3.5
46 38    3.2
46 39    3.0
46 40    2.7
46 41    2.5
46 42    2.2
46 43    1.9
46 44    1.6
46 45    1.3
46 46    1.0
46 47    0.6
46 48    0.3
46 49    0.0
45 0    0.0
45 1    0.4
45 2    0.9
45 3    1.3
45 4    1.7
45 5    2.1
45 6    2.5
45 7    2.9
45 8    3.3
45 9    3.6
45 10    4.0
45 11    4.3
45 12    4.6
45 13    4.9
45 14    5.2
45 15    5.4
45 16    5.6
45 17    5.8
45 18    6.0
45 19    6.2
45 20    6.3
45 21    6.4
45 22    6.5
45 23    6.5
45 24    6.5
45 25    6.5
45 26    6.5
45 27    6.5
45 28    6.4
45 29    6.3
45 30    6.2
45 31    6.0
45 32    5.8
45 33    5.6
45 34    5.4
45 35    5.2
45 36    4.9
45 37    4.6
45 38    4.3
45 39    4.0
45 40    3.6
45 41    3.3
45 42    2.9
45 43    2.5
45 44    2.1
45 45    1.7
45 46    1.3
45 47    0.9
45 48    0.4
45 49    0.0
44 0    0.0
44 1    0.5
44 2    1.1
44 3    1.6
44 4    2.1
44 5    2.6
44 6    3.1
44 7    3.6
44 8    4.1
44 9    4.5
44 10    4.9
44 11    5.3
44 12    5.7
44 13    6.1
44 14    6.4
44 15    6.7
44 16    7.0
44 17    7.2
44 18    7.4
44 19    7.6
44 20    7.8
44 21    7.9
44 22    8.0
44 23    8.1
44 24    8.1
44 25    8.1
44 26    8.1
44 27    8.0
44 28    7.9
44 29    7.8
44 30    7.6
44 31    7.4
44 32    7.2
44 33    7.0
44 34    6.7
44 35    6.4
44 36    6.1
44 37    5.7
44 38    5.3
44 39    4.9
44 40    4.5
44 41    4.1
44 42    3.6
44 43    3.1
44 44    2.6
44 45    2.1
44 46    1.6
44 47    1.1
44 48    0.5
44 49    0.0
43 0    0.0
43 1    0.6
43 2    1.3
43 3    1.9
43 4    2.5
43 5    3.1
43 6    3.7
43 7    4.3
43 8    4.8
43 9    5.4
43 10    5.9
43 11    6.4
43 12    6.8
43 13    7.2
43 14    7.6
43 15    8.0
43 16    8.3
43 17    8.6
43 18    8.9
43 19    9.1
43 20    9.3
43 21    9.4
43 22    9.5
43 23    9.6
43 24    9.6
43 25    9.6
43 26    9.6
43 27    9.5
43 28    9.4
43 29    9.3
43 30    9.1
43 31    8.9
43 32    8.6
43 33    8.3
43 34    8.0
43 35    7.6
43 36    7.2
43 37    6.8
43 38    6.4
43 39    5.9
43 40    5.4
43 41    4.8
43 42    4.3
43 43    3.7
43 44    3.1
43 45    2.5
43 46    1.9
43 47    1.3
43 48    0.6
43 49    0.0
42 0    0.0
42 1    0.7
42 2    1.5
42 3    2.2
42 4    2.9
42 5    3.6
42 6    4.3
42 7    4.9
42 8    5.6
42 9    6.2
42 10    6.8
42 11    7.3
42 12    7.9
42 13    8.4
42 14    8.8
42 15    9.2
42 16    9.6
42 17    9.9
42 18   10.2
42 19   10.5
42 20   10.7
42 21   10.9
42 22   11.0
42 23   11.1
42 24   11.1
42 25   11.1
42 26   11.1
42 27   11.0
42 28   10.9
42 29   10.7
42 30   10.5
42 31   10.2
42 32    9.9
42 33    9.6
42 34    9.2
42 35    8.8
42 36    8.4
42 37    7.9
42 38    7.3
42 39    6.8
42 40    6.2
42 41    5.6
42 42    4.9
42 43    4.3
42 44    3.6
42 45    2.9
42 46    2.2
42 47    1.5
42 48    0.7
42 49    0.0
41 0    0.0
41 1    0.8
41 2    1.7
41 3    2.5
41 4    3.3
41 5    4.1
41 6    4.8
41 7    5.6
41 8    6.3
41 9    7.0
